player_id_web,web_name,team_id_web,position,season,player_season_id,player_full_name
1,Balogun,1,FWD,24,241,Folarin Balogun
2,Cédric,1,DEF,24,242,Cédric Alves Soares
3,M.Elneny,1,MID,24,243,Mohamed Elneny
4,Fábio Vieira,1,MID,24,244,Fábio Ferreira Vieira
5,Gabriel,1,DEF,24,245,Gabriel dos Santos Magalhães
6,Havertz,1,MID,24,246,Kai Havertz
8,G.Jesus,1,FWD,24,248,Gabriel Fernando de Jesus
9,Jorginho,1,MID,24,249,Jorge Luiz Frello Filho
10,Kiwior,1,DEF,24,2410,Jakub Kiwior
11,Marquinhos,1,MID,24,2411,Marcus Oliveira Alencar
12,Martinelli,1,MID,24,2412,Gabriel Martinelli Silva
13,Nketiah,1,FWD,24,2413,Eddie Nketiah
14,Ødegaard,1,MID,24,2414,Martin Ødegaard
15,Thomas,1,MID,24,2415,Thomas Partey
16,Pepe,1,MID,24,2416,Nicolas Pépé
17,Ramsdale,1,GK,24,2417,Aaron Ramsdale
18,Rúnarsson,1,GK,24,2418,Rúnar Alex Rúnarsson
19,Saka,1,MID,24,2419,Bukayo Saka
20,Saliba,1,DEF,24,2420,William Saliba
22,Smith Rowe,1,MID,24,2422,Emile Smith Rowe
24,Tierney,1,DEF,24,2424,Kieran Tierney
25,Tomiyasu,1,DEF,24,2425,Takehiro Tomiyasu
26,Trossard,1,MID,24,2426,Leandro Trossard
29,White,1,DEF,24,2429,Benjamin White
30,Xhaka,1,MID,24,2430,Granit Xhaka
31,Zinchenko,1,DEF,24,2431,Oleksandr Zinchenko
113,Raya,1,GK,24,24113,David Raya Martin
540,Rice,1,MID,24,24540,Declan Rice
578,Nelson,1,MID,24,24578,Reiss Nelson
585,J.Timber,1,DEF,24,24585,Jurriën Timber
646,Hein,1,GK,24,24646,Karl Hein
735,Sagoe,1,MID,24,24735,Charles Sagoe
736,Walters,1,DEF,24,24736,Reuell Walters
737,Ibrahim,1,MID,24,24737,Bradley Ibrahim
764,Lewis-Skelly,1,MID,24,24764,Myles Lewis-Skelly
772,Nwaneri,1,MID,24,24772,Ethan Nwaneri
815,Bandeira,1,MID,24,24815,Mauro Bandeira
817,Sweet,1,DEF,24,24817,James Sweet
32,Alex Moreno,2,DEF,24,2432,Alexandre Moreno Lopera
34,Bailey,2,MID,24,2434,Leon Bailey
35,Buendia,2,MID,24,2435,Emiliano Buendía Stati
36,Cash,2,DEF,24,2436,Matty Cash
37,Chambers,2,DEF,24,2437,Calum Chambers
38,Coutinho,2,MID,24,2438,Philippe Coutinho Correia
39,Davis,2,FWD,24,2439,Keinan Davis
40,Dendoncker,2,MID,24,2440,Leander Dendoncker
41,Diego Carlos,2,DEF,24,2441,Diego Carlos Santos Silva
42,Digne,2,DEF,24,2442,Lucas Digne
43,Douglas Luiz,2,MID,24,2443,Douglas Luiz Soares de Paulo
44,Duran,2,FWD,24,2444,Jhon Durán
45,Hause,2,DEF,24,2445,Kortney Hause
46,Iroegbunam,2,MID,24,2446,Tim Iroegbunam
47,Kamara,2,MID,24,2447,Boubacar Kamara
48,Konsa,2,DEF,24,2448,Ezri Konsa Ngoyo
49,Martinez,2,GK,24,2449,Emiliano Martínez Romero
50,McGinn,2,MID,24,2450,John McGinn
51,Mings,2,DEF,24,2451,Tyrone Mings
53,Olsen,2,GK,24,2453,Robin Olsen
54,Philogene,2,MID,24,2454,Jaden Philogene-Bidace
55,J.Ramsey,2,MID,24,2455,Jacob Ramsey
56,Sanson,2,MID,24,2456,Morgan Sanson
57,Sinisalo,2,GK,24,2457,Viljami Sinisalo
58,Tielemans,2,MID,24,2458,Youri Tielemans
59,Bertrand Traoré,2,MID,24,2459,Bertrand Traoré
60,Watkins,2,FWD,24,2460,Ollie Watkins
61,Wesley,2,FWD,24,2461,Wesley Moraes Ferreira da Silva
584,Pau,2,DEF,24,24584,Pau Torres
599,Diaby,2,MID,24,24599,Moussa Diaby
618,Kellyman,2,MID,24,24618,Omari Kellyman
670,Marschall,2,GK,24,24670,Filip Marschall
672,Zaniolo,2,MID,24,24672,Nicolò Zaniolo
686,Zych,2,GK,24,24686,Oliwier Zych
699,Lenglet,2,DEF,24,24699,Clément Lenglet
765,Proctor,2,GK,24,24765,Sam Proctor
767,O'Reilly,2,MID,24,24767,Tommi O'Reilly
778,Wright,2,GK,24,24778,James Wright
793,Kesler-Hayden,2,DEF,24,24793,Kaine Kesler-Hayden
803,Rogers,2,MID,24,24803,Morgan Rogers
818,Gauci,2,GK,24,24818,Joe Gauci
854,Munroe,2,DEF,24,24854,Finley Munroe
865,Young,2,MID,24,24865,Kadan Young
866,Emery,2,GK,24,24866,Lander Emery
62,Anthony,3,MID,24,2462,Jaidon Anthony
63,Billing,3,MID,24,2463,Philip Billing
64,Brooks,3,MID,24,2464,David Brooks
65,Christie,3,MID,24,2465,Ryan Christie
66,L.Cook,3,MID,24,2466,Lewis Cook
67,Siriki,3,MID,24,2467,Siriki Dembélé
68,Fredericks,3,DEF,24,2468,Ryan Fredericks
69,Hill,3,DEF,24,2469,James Hill
70,Kelly,3,DEF,24,2470,Lloyd Kelly
71,Kilkenny,3,MID,24,2471,Gavin Kilkenny
72,Kluivert,3,MID,24,2472,Justin Kluivert
73,Lowe,3,MID,24,2473,Jamal Lowe
74,Marcondes,3,MID,24,2474,Emiliano Marcondes
75,Mepham,3,DEF,24,2475,Chris Mepham
76,Moore,3,FWD,24,2476,Kieffer Moore
77,Neto,3,GK,24,2477,Norberto Murara Neto
78,O.Dango,3,MID,24,2478,Dango Ouattara
79,Pearson,3,MID,24,2479,Ben Pearson
80,Randolph,3,GK,24,2480,Darren Randolph
81,Rothwell,3,MID,24,2481,Joe Rothwell
82,Semenyo,3,FWD,24,2482,Antoine Semenyo
83,Senesi,3,DEF,24,2483,Marcos Senesi
84,Smith,3,DEF,24,2484,Adam Smith
85,Solanke,3,FWD,24,2485,Dominic Solanke
86,Tavernier,3,MID,24,2486,Marcus Tavernier
87,Hamed Traorè,3,MID,24,2487,Hamed Traorè
88,Travers,3,GK,24,2488,Mark Travers
89,Zabarnyi,3,DEF,24,2489,Illia Zabarnyi
595,Kerkez,3,DEF,24,24595,Milos Kerkez
607,Radu,3,GK,24,24607,Ionuț Radu
619,Greenwood,3,DEF,24,24619,Ben Greenwood
643,Aarons,3,DEF,24,24643,Max Aarons
644,Scott,3,MID,24,24644,Alex Scott
673,Adams,3,MID,24,24673,Tyler Adams
705,Sinisterra,3,MID,24,24705,Luis Sinisterra
799,Faivre,3,MID,24,24799,Romain Faivre
802,Kinsey,3,DEF,24,24802,Max Kinsey
804,Enes Ünal,3,FWD,24,24804,Enes Ünal
811,Sadi,3,MID,24,24811,Dominic Sadi
849,Dacosta Gonzalez,3,MID,24,24849,Michael Dacosta Gonzalez
855,McKenna,3,GK,24,24855,Callan McKenna
90,Ajer,4,DEF,24,2490,Kristoffer Ajer
91,Balcombe,4,GK,24,2491,Ellery Balcombe
92,Baptiste,4,MID,24,2492,Shandon Baptiste
93,Bech,4,DEF,24,2493,Mads Bech Sørensen
94,Bidstrup,4,MID,24,2494,Mads Bidstrup
95,Canós,4,MID,24,2495,Sergi Canós Tenés
96,Collins,4,DEF,24,2496,Nathan Collins
97,Cox,4,GK,24,2497,Matthew Cox
98,Damsgaard,4,MID,24,2498,Mikkel Damsgaard
99,Dasilva,4,MID,24,2499,Josh Dasilva
100,Dervişoğlu,4,FWD,24,24100,Halil Dervişoğlu
101,Flekken,4,GK,24,24101,Mark Flekken
102,Goode,4,DEF,24,24102,Charlie Goode
103,Henry,4,DEF,24,24103,Rico Henry
104,Hickey,4,DEF,24,24104,Aaron Hickey
105,Janelt,4,MID,24,24105,Vitaly Janelt
106,Jensen,4,MID,24,24106,Mathias Jensen
107,Lewis-Potter,4,MID,24,24107,Keane Lewis-Potter
108,Mbeumo,4,MID,24,24108,Bryan Mbeumo
109,Mee,4,DEF,24,24109,Ben Mee
110,Nørgaard,4,MID,24,24110,Christian Nørgaard
111,Onyeka,4,MID,24,24111,Frank Onyeka
112,Pinnock,4,DEF,24,24112,Ethan Pinnock
114,Roerslev,4,DEF,24,24114,Mads Roerslev Rasmussen
115,Schade,4,MID,24,24115,Kevin Schade
116,Strakosha,4,GK,24,24116,Thomas Strakosha
117,Toney,4,FWD,24,24117,Ivan Toney
118,Trevitt,4,MID,24,24118,Ryan Trevitt
119,Wissa,4,FWD,24,24119,Yoane Wissa
120,Yarmoliuk,4,MID,24,24120,Yegor Yarmoliuk
121,Zanka,4,DEF,24,24121,Mathias Jorgensen
258,Maupay,4,FWD,24,24258,Neal Maupay
508,Reguilón,4,DEF,24,24508,Sergio Reguilón
620,Olakigbe,4,MID,24,24620,Michael Olakigbe
684,Brierley,4,MID,24,24684,Ethan Brierley
701,Ghoddos,4,MID,24,24701,Saman Ghoddos
